order_id,order_date,pick_time,sku_id,qty_picked,pick_location,associate_id,order_type,carrier,ship_method
ORD-1007138,2025-04-22,18:51:26,SKU-03568,1,A-02R-024-1-B,PKR-010,MULTI,USPS Priority Mail,STANDARD_OVERNIGHT
ORD-1007141,2025-04-22,12:14:54,SKU-01204,1,A-03R-016-1-B,PKR-029,MULTI,UPS Ground,PRIORITY_2D
ORD-1000842,2025-04-22,10:09:06,SKU-00838,2,A-03L-009-1-B,PKR-015,SINGLE,UPS Ground,PRIORITY_2D
ORD-1000949,2025-04-22,15:18:23,SKU-04328,2,A-02L-021-1-B,PKR-025,MULTI,UPS Ground,GROUND
ORD-1001381,2025-04-22,07:46:34,SKU-04183,1,A-01L-010-2-B,PKR-027,MULTI,USPS Priority Mail,GROUND
ORD-1001801,2025-04-22,12:36:44,SKU-02518,2,E-02R-012-2-A,PKR-017,MULTI,FedEx Ground,GROUND
ORD-1004147,2025-04-22,11:52:20,SKU-01121,2,B-04R-017-4-A,PKR-027,MULTI,USPS Priority Mail,GROUND
ORD-1000026,2025-04-22,07:39:10,SKU-04041,2,A-02R-002-2-B,PKR-024,MULTI,UPS Ground,STANDARD_OVERNIGHT
ORD-1001846,2025-04-22,18:02:37,SKU-02252,2,B-02R-025-2-A,PKR-024,MULTI,FedEx Ground,GROUND
ORD-1005959,2025-04-22,09:28:58,SKU-03635,2,A-02R-019-5-A,PKR-008,MULTI,UPS 2nd Day Air,PRIORITY_2D
ORD-1000114,2025-04-22,06:27:35,SKU-01652,2,B-04R-013-1-B,PKR-015,MULTI,UPS Ground,GROUND
ORD-1007356,2025-04-22,18:39:13,SKU-02567,2,C-01L-021-1-B,PKR-002,MULTI,UPS Ground,GROUND
ORD-1007220,2025-04-22,20:00:26,SKU-04872,2,D-02R-003-2-A,PKR-032,MULTI,USPS Priority Mail,PRIORITY_2D
ORD-1002582,2025-04-22,11:46:41,SKU-02104,2,B-01R-002-1-A,PKR-011,SINGLE,FedEx Ground,GROUND
ORD-1006271,2025-04-22,13:10:51,SKU-01747,1,A-03R-020-1-A,PKR-025,MULTI,UPS Ground,PRIORITY_2D
ORD-1000502,2025-04-22,18:30:38,SKU-02913,1,B-01L-015-2-B,PKR-029,MULTI,UPS Ground,PRIORITY_2D
ORD-1007010,2025-04-22,08:34:47,SKU-01850,2,A-04R-006-2-A,PKR-024,MULTI,UPS Ground,GROUND
ORD-1003130,2025-04-22,06:51:35,SKU-03734,1,A-02L-002-5-A,PKR-012,MULTI,UPS Ground,STANDARD_OVERNIGHT
ORD-1002032,2025-04-22,12:09:38,SKU-04328,2,A-02L-021-1-B,PKR-022,MULTI,USPS Priority Mail,GROUND
ORD-1007677,2025-04-22,21:52:37,SKU-00910,1,B-04R-014-3-A,PKR-019,MULTI,FedEx Ground,GROUND
ORD-1006853,2025-04-22,16:11:47,SKU-04328,2,A-02L-021-1-B,PKR-029,MULTI,FedEx Ground,GROUND
ORD-1002102,2025-04-22,12:46:00,SKU-04753,1,D-01R-014-2-B,PKR-030,MULTI,FedEx Ground,STANDARD_OVERNIGHT
ORD-1004936,2025-04-22,09:07:32,SKU-03676,1,B-01R-002-4-B,PKR-019,MULTI,FedEx Ground,GROUND
ORD-1004078,2025-04-22,06:31:29,SKU-03727,2,B-02R-023-4-A,PKR-017,MULTI,FedEx Ground,GROUND
ORD-1001843,2025-04-22,15:15:43,SKU-03077,2,B-02L-012-4-B,PKR-003,MULTI,FedEx Ground,GROUND
ORD-1002592,2025-04-22,20:58:20,SKU-04865,2,A-01R-011-4-B,PKR-007,MULTI,FedEx 2Day,GROUND
ORD-1003397,2025-04-22,18:31:42,SKU-04041,2,A-02R-002-2-B,PKR-029,MULTI,USPS Priority Mail,GROUND
ORD-1002058,2025-04-22,18:30:44,SKU-04328,2,A-02L-021-1-B,PKR-011,MULTI,FedEx Ground,PRIORITY_2D
ORD-1003221,2025-04-22,17:20:49,SKU-02366,2,A-01R-020-4-A,PKR-001,MULTI,UPS Ground,PRIORITY_2D
ORD-1002642,2025-04-22,19:02:32,SKU-02552,2,B-02R-022-5-B,PKR-013,MULTI,UPS Ground,GROUND
ORD-1005311,2025-04-22,09:30:40,SKU-04778,2,B-01L-023-3-B,PKR-024,MULTI,UPS 2nd Day Air,PRIORITY_2D
ORD-1004553,2025-04-22,08:46:45,SKU-01490,2,B-04R-009-1-A,PKR-014,MULTI,FedEx Ground,GROUND
ORD-1007668,2025-04-22,09:47:52,SKU-03727,1,B-02R-023-4-A,PKR-007,MULTI,UPS Ground,GROUND
ORD-1000418,2025-04-22,14:46:57,SKU-04328,2,A-02L-021-1-B,PKR-017,MULTI,UPS 2nd Day Air,GROUND
ORD-1003847,2025-04-22,20:56:15,SKU-00026,2,A-03R-009-1-B,PKR-006,MULTI,FedEx Ground,GROUND
ORD-1000457,2025-04-22,09:07:36,SKU-04138,2,C-02L-010-5-A,PKR-012,MULTI,UPS Ground,GROUND
ORD-1003247,2025-04-22,20:23:56,SKU-04564,1,D-02L-006-3-B,PKR-023,MULTI,FedEx Ground,GROUND
ORD-1002337,2025-04-22,17:20:54,SKU-04876,2,C-02R-003-4-A,PKR-021,MULTI,UPS 2nd Day Air,GROUND
ORD-1007239,2025-04-22,13:27:44,SKU-00456,2,D-04L-014-1-B,PKR-028,MULTI,UPS 2nd Day Air,GROUND
ORD-1003711,2025-04-22,18:43:04,SKU-02407,1,A-01L-004-2-A,PKR-002,MULTI,USPS Priority Mail,GROUND
ORD-1004038,2025-04-22,06:32:35,SKU-02531,2,B-01L-024-2-A,PKR-010,MULTI,USPS Priority Mail,GROUND
ORD-1003146,2025-04-22,07:25:09,SKU-03244,2,C-01L-009-4-B,PKR-012,MULTI,UPS Ground,GROUND
ORD-1006196,2025-04-22,18:01:40,SKU-03727,1,B-02R-023-4-A,PKR-009,MULTI,USPS Priority Mail,GROUND
ORD-1002752,2025-04-22,18:11:01,SKU-02973,1,B-01R-015-1-A,PKR-026,MULTI,FedEx Ground,GROUND
ORD-1002280,2025-04-22,14:17:52,SKU-02085,2,D-02R-008-1-A,PKR-026,MULTI,FedEx Ground,GROUND
ORD-1004928,2025-04-22,18:29:45,SKU-01594,1,E-04L-010-4-B,PKR-016,MULTI,UPS Ground,GROUND
ORD-1004839,2025-04-22,07:41:06,SKU-02194,2,C-01R-001-2-A,PKR-030,MULTI,UPS Ground,PRIORITY_2D
ORD-1004398,2025-04-22,21:12:25,SKU-00034,2,A-04L-017-3-A,PKR-032,MULTI,FedEx Ground,GROUND
ORD-1004045,2025-04-22,08:42:10,SKU-02720,2,D-01R-005-1-A,PKR-020,SINGLE,USPS Priority Mail,GROUND
ORD-1004775,2025-04-22,18:00:18,SKU-02681,1,A-01R-018-4-B,PKR-023,SINGLE,FedEx Ground,PRIORITY_2D
ORD-1007148,2025-04-22,11:58:10,SKU-00643,1,A-03R-014-2-B,PKR-009,MULTI,FedEx Ground,GROUND
ORD-1000500,2025-04-22,11:04:18,SKU-04435,1,A-02R-016-4-A,PKR-016,MULTI,USPS Priority Mail,GROUND
ORD-1007277,2025-04-22,13:56:19,SKU-04328,2,A-02L-021-1-B,PKR-006,MULTI,FedEx Ground,GROUND
ORD-1007206,2025-04-22,12:21:37,SKU-01204,2,A-03R-016-1-B,PKR-013,MULTI,UPS Ground,GROUND
ORD-1007742,2025-04-22,08:29:59,SKU-02859,2,A-01L-018-3-A,PKR-018,MULTI,USPS Priority Mail,GROUND
ORD-1006048,2025-04-22,16:01:56,SKU-04528,2,B-02R-014-3-B,PKR-016,MULTI,FedEx 2Day,STANDARD_OVERNIGHT
ORD-1007341,2025-04-22,20:04:04,SKU-00370,2,A-03R-008-4-B,PKR-023,MULTI,FedEx Ground,GROUND
ORD-1002371,2025-04-22,15:48:51,SKU-02081,1,E-02R-001-4-B,PKR-009,MULTI,FedEx Ground,GROUND
ORD-1005387,2025-04-22,18:56:57,SKU-01207,2,B-04R-018-4-B,PKR-022,MULTI,FedEx 2Day,GROUND
ORD-1007558,2025-04-22,16:22:34,SKU-04722,1,D-01L-018-4-A,PKR-029,MULTI,UPS Ground,GROUND
ORD-1006929,2025-04-22,08:14:45,SKU-02357,2,C-02L-006-2-A,PKR-011,MULTI,FedEx Ground,STANDARD_OVERNIGHT
ORD-1003814,2025-04-22,15:45:12,SKU-01721,2,A-04L-015-4-B,PKR-025,MULTI,UPS 2nd Day Air,GROUND
ORD-1000938,2025-04-22,20:24:19,SKU-00563,2,D-04R-017-1-B,PKR-031,MULTI,UPS Ground,PRIORITY_2D
ORD-1006547,2025-04-22,16:52:51,SKU-00039,1,C-03R-017-4-B,PKR-005,MULTI,FedEx Ground,GROUND
ORD-1003239,2025-04-22,12:08:22,SKU-00872,2,A-04L-005-1-A,PKR-031,MULTI,USPS Priority Mail,PRIORITY_2D
ORD-1007121,2025-04-22,14:12:56,SKU-02232,2,C-01L-002-5-A,PKR-022,MULTI,UPS Ground,PRIORITY_2D
ORD-1000330,2025-04-22,20:25:42,SKU-01567,2,B-03L-009-4-B,PKR-020,MULTI,FedEx Ground,GROUND
ORD-1000157,2025-04-22,18:45:29,SKU-04457,2,A-01L-020-2-B,PKR-014,MULTI,UPS Ground,GROUND
ORD-1005718,2025-04-22,12:03:27,SKU-00373,1,C-04R-019-1-A,PKR-004,MULTI,UPS Ground,GROUND
ORD-1003929,2025-04-22,08:56:46,SKU-01197,2,B-04R-019-1-A,PKR-001,MULTI,UPS Ground,GROUND
ORD-1007487,2025-04-22,07:54:14,SKU-00303,1,B-03L-008-1-A,PKR-010,MULTI,UPS 2nd Day Air,GROUND
ORD-1001018,2025-04-22,11:35:06,SKU-04328,2,A-02L-021-1-B,PKR-022,MULTI,FedEx Ground,PRIORITY_2D
ORD-1005651,2025-04-22,17:13:07,SKU-04370,2,A-02R-026-5-A,PKR-027,MULTI,USPS Priority Mail,GROUND
ORD-1004774,2025-04-22,09:48:45,SKU-02956,2,A-01L-011-1-A,PKR-023,MULTI,USPS Priority Mail,GROUND
ORD-1002853,2025-04-22,20:44:07,SKU-04328,1,A-02L-021-1-B,PKR-011,MULTI,FedEx Ground,GROUND
ORD-1005825,2025-04-22,21:24:17,SKU-02973,1,B-01R-015-1-A,PKR-029,MULTI,USPS Priority Mail,PRIORITY_2D
ORD-1003797,2025-04-22,09:52:17,SKU-04328,2,A-02L-021-1-B,PKR-020,MULTI,USPS Priority Mail,PRIORITY_2D
ORD-1006466,2025-04-22,06:31:26,SKU-04637,2,B-02L-003-1-A,PKR-024,MULTI,USPS Priority Mail,GROUND
ORD-1004628,2025-04-22,10:20:29,SKU-02085,2,D-02R-008-1-A,PKR-032,MULTI,UPS Ground,GROUND
ORD-1007250,2025-04-22,08:58:40,SKU-03230,2,D-01R-010-4-B,PKR-011,MULTI,USPS Priority Mail,GROUND
ORD-1004220,2025-04-22,13:54:50,SKU-02588,2,C-02L-014-3-B,PKR-006,MULTI,USPS Priority Mail,GROUND
ORD-1001096,2025-04-22,18:14:16,SKU-00446,2,B-04L-006-4-A,PKR-006,SINGLE,USPS Priority Mail,GROUND
ORD-1002648,2025-04-22,08:44:16,SKU-01490,1,B-04R-009-1-A,PKR-017,MULTI,FedEx Ground,GROUND
ORD-1007168,2025-04-22,10:45:02,SKU-04041,2,A-02R-002-2-B,PKR-008,MULTI,UPS Ground,GROUND
ORD-1006878,2025-04-22,08:02:21,SKU-04733,1,A-01R-018-1-A,PKR-003,MULTI,USPS Priority Mail,GROUND
ORD-1005330,2025-04-22,20:09:53,SKU-02085,1,D-02R-008-1-A,PKR-022,MULTI,UPS Ground,GROUND
ORD-1001176,2025-04-22,06:41:09,SKU-01121,2,B-04R-017-4-A,PKR-002,MULTI,FedEx Ground,GROUND
ORD-1001338,2025-04-22,18:51:46,SKU-02585,1,A-01R-012-4-A,PKR-015,MULTI,USPS Priority Mail,GROUND
ORD-1000932,2025-04-22,11:58:43,SKU-04041,2,A-02R-002-2-B,PKR-002,MULTI,FedEx 2Day,PRIORITY_2D
ORD-1002967,2025-04-22,06:29:39,SKU-00422,2,A-03R-005-2-B,PKR-017,MULTI,FedEx Ground,PRIORITY_2D
ORD-1001850,2025-04-22,13:22:51,SKU-02428,1,B-01L-024-5-A,PKR-006,MULTI,UPS Ground,PRIORITY_2D
ORD-1004618,2025-04-22,11:42:37,SKU-02908,2,B-02L-005-3-A,PKR-027,MULTI,USPS Priority Mail,GROUND
ORD-1004633,2025-04-22,15:53:51,SKU-04328,2,A-02L-021-1-B,PKR-004,MULTI,FedEx Ground,GROUND
ORD-1005323,2025-04-22,09:21:23,SKU-02085,2,D-02R-008-1-A,PKR-016,MULTI,FedEx Ground,GROUND
ORD-1005524,2025-04-22,08:03:54,SKU-00340,2,A-04L-017-1-A,PKR-028,MULTI,USPS Priority Mail,PRIORITY_2D
ORD-1003551,2025-04-22,14:30:36,SKU-04041,1,A-02R-002-2-B,PKR-012,MULTI,UPS Ground,GROUND
ORD-1006758,2025-04-22,11:09:31,SKU-01696,2,B-03L-009-3-B,PKR-032,MULTI,UPS Ground,GROUND
ORD-1003893,2025-04-22,06:33:31,SKU-02609,1,C-01R-013-1-B,PKR-007,MULTI,UPS Ground,GROUND
ORD-1007653,2025-04-22,20:52:09,SKU-01331,2,A-03R-003-4-B,PKR-001,MULTI,UPS Ground,GROUND
ORD-1004802,2025-04-22,14:36:08,SKU-02104,2,B-01R-002-1-A,PKR-004,SINGLE,UPS 2nd Day Air,GROUND
ORD-1002266,2025-04-22,17:57:28,SKU-04928,2,B-01L-013-2-B,PKR-022,MULTI,USPS Priority Mail,GROUND
ORD-1006545,2025-04-22,21:45:08,SKU-02961,1,B-02R-006-3-A,PKR-006,MULTI,FedEx Ground,GROUND
ORD-1003022,2025-04-22,07:51:58,SKU-01331,1,A-03R-003-4-B,PKR-029,MULTI,FedEx Ground,GROUND
ORD-1003767,2025-04-22,12:40:24,SKU-02423,1,D-02R-007-4-A,PKR-001,MULTI,FedEx Ground,GROUND
ORD-1005102,2025-04-22,18:14:18,SKU-02509,2,B-01L-020-5-A,PKR-018,SINGLE,FedEx Ground,GROUND
ORD-1004716,2025-04-22,12:25:59,SKU-04623,1,B-01R-007-5-A,PKR-021,MULTI,FedEx 2Day,GROUND
ORD-1002623,2025-04-22,10:10:50,SKU-04608,2,A-02L-025-1-B,PKR-008,MULTI,UPS Ground,PRIORITY_2D
ORD-1004844,2025-04-22,15:26:49,SKU-02788,2,D-02L-023-3-A,PKR-003,MULTI,FedEx Ground,GROUND
ORD-1007321,2025-04-22,21:40:07,SKU-00850,1,B-04R-020-2-A,PKR-014,MULTI,USPS Priority Mail,STANDARD_OVERNIGHT
ORD-1005105,2025-04-22,12:27:59,SKU-00140,1,C-03R-009-1-B,PKR-006,MULTI,FedEx Ground,GROUND
ORD-1006891,2025-04-22,17:57:50,SKU-04865,2,A-01R-011-4-B,PKR-001,SINGLE,UPS 2nd Day Air,GROUND
ORD-1003619,2025-04-22,12:34:01,SKU-04431,2,D-02R-020-5-A,PKR-005,MULTI,USPS Priority Mail,GROUND
ORD-1002135,2025-04-22,15:35:13,SKU-00324,2,C-03L-004-3-B,PKR-009,MULTI,FedEx Ground,GROUND
ORD-1001315,2025-04-22,09:08:47,SKU-02891,2,A-02L-014-3-A,PKR-026,MULTI,UPS Ground,GROUND
ORD-1001608,2025-04-22,17:52:21,SKU-02218,2,C-02R-003-1-B,PKR-008,MULTI,UPS Ground,GROUND
ORD-1007441,2025-04-22,09:01:41,SKU-02050,1,C-02L-007-1-A,PKR-009,MULTI,USPS Priority Mail,GROUND
ORD-1007417,2025-04-22,11:59:07,SKU-02585,1,A-01R-012-4-A,PKR-007,MULTI,USPS Priority Mail,GROUND
ORD-1001355,2025-04-22,11:45:04,SKU-03727,1,B-02R-023-4-A,PKR-029,MULTI,UPS 2nd Day Air,GROUND
ORD-1002522,2025-04-22,19:59:24,SKU-00739,2,D-04L-011-3-B,PKR-023,MULTI,FedEx Ground,GROUND
ORD-1000977,2025-04-22,09:36:52,SKU-00357,2,D-04L-020-4-B,PKR-001,MULTI,FedEx Ground,PRIORITY_2D
ORD-1006268,2025-04-22,07:06:53,SKU-04328,1,A-02L-021-1-B,PKR-007,MULTI,UPS Ground,GROUND
ORD-1005942,2025-04-22,20:55:38,SKU-04887,2,B-01L-015-5-B,PKR-030,MULTI,UPS Ground,GROUND
ORD-1000743,2025-04-22,10:02:13,SKU-04984,1,B-02R-026-4-B,PKR-003,MULTI,USPS Priority Mail,PRIORITY_2D
ORD-1003032,2025-04-22,21:28:58,SKU-04041,1,A-02R-002-2-B,PKR-005,MULTI,UPS Ground,GROUND
ORD-1005461,2025-04-22,11:51:20,SKU-01284,1,A-04R-009-1-B,PKR-031,MULTI,USPS Priority Mail,STANDARD_OVERNIGHT
ORD-1000434,2025-04-22,17:14:59,SKU-01490,2,B-04R-009-1-A,PKR-012,MULTI,FedEx Ground,GROUND
ORD-1000017,2025-04-22,06:34:58,SKU-02509,1,B-01L-020-5-A,PKR-028,MULTI,FedEx Ground,GROUND
ORD-1000639,2025-04-22,14:08:18,SKU-04328,1,A-02L-021-1-B,PKR-009,MULTI,FedEx Ground,PRIORITY_2D
ORD-1003627,2025-04-22,17:06:33,SKU-04457,1,A-01L-020-2-B,PKR-030,MULTI,UPS Ground,GROUND
ORD-1003383,2025-04-22,14:09:44,SKU-02185,2,C-01R-009-4-B,PKR-015,MULTI,FedEx Ground,PRIORITY_2D
ORD-1006722,2025-04-22,06:47:36,SKU-04932,2,A-02R-018-5-A,PKR-012,MULTI,FedEx Ground,STANDARD_OVERNIGHT
ORD-1003850,2025-04-22,16:40:49,SKU-02609,2,C-01R-013-1-B,PKR-008,MULTI,FedEx Ground,GROUND
ORD-1005135,2025-04-22,15:49:09,SKU-04328,1,A-02L-021-1-B,PKR-013,MULTI,UPS Ground,PRIORITY_2D
ORD-1001048,2025-04-22,16:42:03,SKU-00687,2,D-04R-005-4-A,PKR-003,MULTI,FedEx 2Day,GROUND
ORD-1003081,2025-04-22,11:42:38,SKU-00616,2,B-04R-006-2-A,PKR-022,MULTI,USPS Priority Mail,STANDARD_OVERNIGHT
ORD-1000156,2025-04-22,11:36:21,SKU-02366,2,A-01R-020-4-A,PKR-024,MULTI,FedEx 2Day,GROUND
ORD-1005574,2025-04-22,09:08:40,SKU-02404,1,A-01R-019-4-B,PKR-025,MULTI,FedEx Ground,PRIORITY_2D
ORD-1007960,2025-04-22,19:36:28,SKU-02085,2,D-02R-008-1-A,PKR-029,MULTI,FedEx Ground,GROUND
ORD-1005442,2025-04-22,06:15:44,SKU-04865,2,A-01R-011-4-B,PKR-001,MULTI,UPS Ground,GROUND
ORD-1015255,2025-04-23,11:43:29,SKU-00255,1,D-03R-005-2-B,PKR-024,MULTI,USPS Priority Mail,GROUND
ORD-1015882,2025-04-23,16:33:50,SKU-02913,2,B-01L-015-2-B,PKR-018,MULTI,UPS Ground,GROUND
ORD-1015860,2025-04-23,11:51:46,SKU-03369,1,D-02L-005-5-B,PKR-022,MULTI,UPS Ground,PRIORITY_2D
ORD-1008762,2025-04-23,18:37:37,SKU-02252,1,B-02R-025-2-A,PKR-030,MULTI,FedEx Ground,PRIORITY_2D
ORD-1012805,2025-04-23,11:59:03,SKU-02893,2,B-01L-026-2-B,PKR-010,MULTI,FedEx Ground,GROUND
ORD-1011728,2025-04-23,20:23:04,SKU-04025,1,C-01L-004-5-A,PKR-012,MULTI,FedEx Ground,GROUND
ORD-1014762,2025-04-23,06:37:15,SKU-02859,2,A-01L-018-3-A,PKR-031,SINGLE,FedEx Ground,GROUND
ORD-1013290,2025-04-23,09:45:51,SKU-03649,2,D-01R-019-3-A,PKR-013,MULTI,FedEx Ground,STANDARD_OVERNIGHT
