sku_id,description,category,sub_category,upc,unit_of_measure,case_qty,unit_weight_lbs,unit_length_in,unit_width_in,unit_height_in,unit_cube_cuft,shelf_type,surge_group,first_received_date,is_active,current_vel_picks_per_day,old_vel_picks_per_day,abc_tier_current,abc_tier_at_slotting,slotting_drift
SKU-00054,Flex Legging - S / Navy,Apparel & Footwear,Athletic & Activewear,033120696443,EA,6,0.66,17.2,10.7,1.5,0.1598,APP,surge,2023-06-21,True,1.2063,0.6577,B,C,True
SKU-00055,Elite Running Short - L / Grey,Apparel & Footwear,Athletic & Activewear,798684976957,EA,12,0.31,10.8,11.3,2.9,0.2048,APP,surge,2022-04-21,True,3.0588,1.6676,A,B,True
SKU-00056,Core Windbreaker - S / White,Apparel & Footwear,Athletic & Activewear,846596491912,EA,24,1.0,16.7,6.0,3.2,0.1856,APP,surge,2023-01-14,True,4.3026,2.3457,A,B,True
SKU-00057,Elite Hoodie - XS / Tan,Apparel & Footwear,Athletic & Activewear,579489843924,EA,6,0.97,11.5,6.1,1.1,0.0447,APP,surge,2022-11-05,True,1.4746,0.8039,B,B,False
SKU-00058,Performance Hoodie - S / Grey,Apparel & Footwear,Athletic & Activewear,482003903196,EA,24,0.38,13.6,12.2,3.8,0.3649,APP,surge,2023-02-07,True,1.3226,0.721,B,B,False
SKU-00059,Swift Windbreaker - L / Navy,Apparel & Footwear,Athletic & Activewear,309216284095,EA,12,1.0,16.7,11.7,3.4,0.3844,APP,surge,2023-03-21,True,0.8548,0.466,B,C,True
SKU-00060,Swift Tee - S / Slate Blue,Apparel & Footwear,Athletic & Activewear,224853789275,EA,12,0.33,12.0,13.1,3.0,0.2729,APP,surge,2024-02-12,True,3.4636,1.8883,A,B,True
SKU-00061,Performance Sports Bra - M / Dusty Rose,Apparel & Footwear,Athletic & Activewear,634748596274,EA,24,0.55,16.9,6.7,1.3,0.0852,APP,surge,2024-12-12,True,0.898,0.4896,B,C,True
SKU-00062,Core Sports Bra - XXL / Tan,Apparel & Footwear,Athletic & Activewear,034924311300,EA,12,0.82,18.0,11.3,2.8,0.3296,APP,surge,2024-09-27,True,1.4831,0.8086,B,B,False
SKU-00063,Elite Running Short - S / Olive,Apparel & Footwear,Athletic & Activewear,448997559238,EA,12,0.32,12.5,10.7,2.0,0.1548,APP,surge,2024-08-19,True,4.8526,2.6456,A,A,False
SKU-00064,ProFit Tee - XL / Tan,Apparel & Footwear,Athletic & Activewear,256602822311,EA,12,0.59,17.1,9.8,3.2,0.3103,APP,surge,2022-08-03,True,1.0586,0.5771,B,C,True
SKU-00065,Performance Jogger - XS / Black,Apparel & Footwear,Athletic & Activewear,648499562869,EA,12,0.55,13.6,12.1,3.4,0.3238,APP,surge,2022-11-12,True,1.4503,0.7907,B,B,False
SKU-00066,Elite Running Short - XS / Tan,Apparel & Footwear,Athletic & Activewear,397594109971,EA,12,0.47,13.6,5.9,3.0,0.1393,APP,surge,2025-04-03,True,0.794,0.4329,B,C,True
SKU-00067,Flex Running Short - XS / White,Apparel & Footwear,Athletic & Activewear,730081637086,EA,12,0.52,8.7,9.1,2.5,0.1145,APP,surge,2024-09-21,True,1.2986,0.708,B,B,False
SKU-00068,ProFit Sports Bra - XS / Navy,Apparel & Footwear,Athletic & Activewear,214810152403,EA,12,0.57,11.9,8.7,1.0,0.0599,APP,surge,2024-01-03,True,0.9932,0.5415,B,C,True
SKU-00069,Performance Hoodie - L / Tan,Apparel & Footwear,Athletic & Activewear,529486327329,EA,12,1.0,16.4,7.3,2.0,0.1386,APP,surge,2025-03-26,True,0.7939,0.4328,B,C,True
SKU-00070,Dynamic Tank Top - S / Burgundy,Apparel & Footwear,Athletic & Activewear,310900918011,EA,24,0.71,15.1,6.4,1.1,0.0615,APP,surge,2023-05-27,True,1.0829,0.5904,B,C,True
SKU-00071,ProFit Tank Top - L / Grey,Apparel & Footwear,Athletic & Activewear,402856418798,EA,12,0.52,13.7,10.3,3.5,0.2858,APP,surge,2024-07-28,True,1.0838,0.5909,B,C,True
SKU-00072,Core Windbreaker - M / White,Apparel & Footwear,Athletic & Activewear,037813571622,EA,24,1.13,12.5,10.4,4.0,0.3009,APP,surge,2024-01-23,True,1.5832,0.8631,B,B,False
SKU-00073,Performance Windbreaker - XL / White,Apparel & Footwear,Athletic & Activewear,307167873783,EA,6,0.59,8.8,5.3,2.0,0.054,APP,surge,2022-07-15,True,1.1821,0.6444,B,C,True
SKU-00074,Flex Legging - XL / Olive,Apparel & Footwear,Athletic & Activewear,017519209059,EA,24,0.83,9.3,6.3,3.1,0.1051,APP,surge,2023-07-07,True,0.9068,0.4944,B,C,True
SKU-00075,Active Jogger - XS / Navy,Apparel & Footwear,Athletic & Activewear,161270451236,EA,48,0.41,17.0,12.9,2.6,0.33,APP,surge,2022-09-16,True,1.159,0.6319,B,C,True
SKU-00076,Dynamic Tank Top - S / Dusty Rose,Apparel & Footwear,Athletic & Activewear,826615537657,EA,24,0.32,14.0,7.1,3.6,0.2071,APP,surge,2023-07-28,True,7.4468,4.0599,A,A,False
SKU-00077,Core Tee - XXL / Tan,Apparel & Footwear,Athletic & Activewear,900735449078,EA,24,0.98,17.8,8.8,2.5,0.2266,APP,surge,2024-02-14,True,1.1713,0.6386,B,C,True
SKU-00078,Core Hoodie - S / Olive,Apparel & Footwear,Athletic & Activewear,619899223487,EA,24,0.91,9.5,13.7,1.5,0.113,APP,surge,2022-07-29,True,1.227,0.6689,B,B,False
SKU-00079,Flex Hoodie - XXL / Tan,Apparel & Footwear,Athletic & Activewear,579541796887,EA,24,0.64,13.2,11.7,3.2,0.286,APP,surge,2025-01-25,True,17.3649,9.4671,A,A,False
SKU-00080,Active Tank Top - M / Navy,Apparel & Footwear,Athletic & Activewear,938798636336,EA,24,0.48,15.4,5.2,3.9,0.1807,APP,surge,2023-07-12,True,1.0796,0.5886,B,C,True
SKU-00081,Dynamic Legging - XXL / Olive,Apparel & Footwear,Athletic & Activewear,013333713136,EA,6,0.67,14.0,13.4,2.4,0.2606,APP,surge,2024-04-19,True,1.0053,0.5481,B,C,True
SKU-00082,Elite Tank Top - XS / White,Apparel & Footwear,Athletic & Activewear,583242914504,EA,12,1.16,10.4,5.9,3.3,0.1172,APP,surge,2024-07-22,True,1.0009,0.5457,B,C,True
SKU-00083,Swift Tank Top - XS / Black,Apparel & Footwear,Athletic & Activewear,648122123738,EA,24,0.34,12.8,13.6,3.0,0.3022,APP,surge,2022-07-02,True,1.4237,0.7762,B,B,False
SKU-00084,Dynamic Running Short - XXL / Olive,Apparel & Footwear,Athletic & Activewear,419325408876,EA,12,1.19,17.8,13.6,1.2,0.1681,APP,surge,2023-08-26,True,20.8192,11.3503,A,A,False
SKU-00085,Active Windbreaker - XL / Slate Blue,Apparel & Footwear,Athletic & Activewear,355772838417,EA,6,0.45,10.5,6.4,3.6,0.14,APP,surge,2022-11-30,True,0.8787,0.479,B,C,True
SKU-00086,Performance Hoodie - XS / Grey,Apparel & Footwear,Athletic & Activewear,713218616404,EA,12,0.49,17.4,6.1,3.7,0.2273,APP,surge,2024-08-08,True,1.1667,0.6361,B,C,True
SKU-00087,Performance Jogger - XL / Tan,Apparel & Footwear,Athletic & Activewear,557232210908,EA,6,0.94,16.5,12.9,2.0,0.2464,APP,surge,2022-11-24,True,9.6327,5.2517,A,A,False
SKU-00088,Active Sports Bra - S / Black,Apparel & Footwear,Athletic & Activewear,843131190489,EA,6,0.77,12.9,9.8,2.6,0.1902,APP,surge,2024-11-11,True,0.9152,0.499,B,C,True
SKU-00089,Core Jogger - XS / Burgundy,Apparel & Footwear,Athletic & Activewear,311903960494,EA,24,0.8,10.1,7.3,1.1,0.0469,APP,surge,2023-09-07,True,0.7845,0.4277,B,C,True
SKU-00090,ProFit Legging - XXL / White,Apparel & Footwear,Athletic & Activewear,348189635093,EA,6,0.47,17.9,12.4,3.2,0.411,APP,surge,2022-11-04,True,15.1264,8.2467,A,A,False
SKU-00091,Dynamic Sports Bra - XL / Grey,Apparel & Footwear,Athletic & Activewear,295426705922,EA,48,0.86,15.5,12.1,1.6,0.1737,APP,surge,2025-03-10,True,1.7089,0.9317,B,B,False
SKU-00092,ProFit Running Short - S / Slate Blue,Apparel & Footwear,Athletic & Activewear,431963477436,EA,24,0.71,9.3,6.4,2.9,0.0999,APP,surge,2023-06-20,True,0.8029,0.4377,B,C,True
SKU-00093,Performance Running Short - XXL / Burgundy,Apparel & Footwear,Athletic & Activewear,069850942877,EA,12,0.73,17.5,8.1,1.5,0.123,APP,surge,2022-03-18,True,1.6815,0.9167,B,B,False
SKU-00094,Swift Legging - M / Grey,Apparel & Footwear,Athletic & Activewear,737734851755,EA,24,0.78,14.6,7.7,3.8,0.2472,APP,surge,2022-06-25,True,4.0804,2.2246,A,B,True
SKU-00095,Flex Sports Bra - XS / Dusty Rose,Apparel & Footwear,Athletic & Activewear,442180361676,EA,12,0.68,14.5,8.1,2.2,0.1495,APP,surge,2025-04-28,True,2.2553,1.2296,B,B,False
SKU-00096,ProFit Legging - L / Burgundy,Apparel & Footwear,Athletic & Activewear,729611827122,EA,12,0.59,10.0,12.0,3.6,0.25,APP,surge,2023-03-24,True,2.44,1.3303,B,B,False
SKU-00097,Core Legging - S / Black,Apparel & Footwear,Athletic & Activewear,795672360379,EA,24,1.12,10.0,9.9,3.1,0.1776,APP,surge,2024-02-09,True,1.2305,0.6708,B,B,False
SKU-00098,ProFit Sports Bra - M / Olive,Apparel & Footwear,Athletic & Activewear,963419883385,EA,24,0.92,8.2,8.6,3.6,0.1469,APP,surge,2023-10-26,True,0.9056,0.4937,B,C,True
SKU-00099,Flex Tank Top - M / Tan,Apparel & Footwear,Athletic & Activewear,993899079727,EA,6,0.87,11.3,7.2,3.7,0.1742,APP,surge,2023-11-06,True,2.143,1.1683,B,B,False
SKU-00100,Swift Jogger - XS / White,Apparel & Footwear,Athletic & Activewear,324534226828,EA,24,0.71,10.4,10.8,1.9,0.1235,APP,surge,2024-11-06,True,2.6271,1.4323,B,B,False
SKU-00101,Core Running Short - XL / Olive,Apparel & Footwear,Athletic & Activewear,216761134921,EA,48,0.31,11.4,12.2,3.5,0.2817,APP,surge,2024-11-22,True,1.4025,0.7646,B,B,False
SKU-00102,Performance Hoodie - XL / Slate Blue,Apparel & Footwear,Athletic & Activewear,609157224826,EA,12,0.68,14.2,13.4,3.9,0.4295,APP,surge,2025-01-11,True,1.1247,0.6132,B,C,True
SKU-00103,Dynamic Jogger - L / Tan,Apparel & Footwear,Athletic & Activewear,252676090905,EA,6,1.05,9.8,8.8,2.7,0.1348,APP,surge,2025-01-30,True,1.3394,0.7303,B,B,False
SKU-00104,Flex Sports Bra - XL / Navy,Apparel & Footwear,Athletic & Activewear,142036733768,EA,48,0.96,17.8,7.9,2.4,0.1953,APP,surge,2022-10-04,True,0.9358,0.5102,B,C,True
SKU-00105,Core Tee - XXL / Slate Blue,Apparel & Footwear,Athletic & Activewear,142821589031,EA,12,0.67,11.2,11.7,3.4,0.2578,APP,surge,2023-09-05,True,2.0752,1.1314,B,B,False
SKU-00106,Performance Legging - M / Slate Blue,Apparel & Footwear,Athletic & Activewear,870036783101,EA,6,0.36,8.5,5.0,2.3,0.0566,APP,surge,2022-08-18,True,0.9986,0.5444,B,C,True
SKU-00107,Flex Jogger - XL / Burgundy,Apparel & Footwear,Athletic & Activewear,435752372557,EA,24,1.04,13.4,12.4,1.3,0.125,APP,surge,2023-11-25,True,1.1685,0.637,B,C,True
SKU-00108,Flex Tank Top - XL / Olive,Apparel & Footwear,Athletic & Activewear,917031110803,EA,24,0.63,10.2,6.9,3.3,0.1344,APP,surge,2022-03-20,True,2.4791,1.3516,B,B,False
SKU-00109,Swift Jogger - L / Olive,Apparel & Footwear,Athletic & Activewear,189998416246,EA,48,0.42,14.5,9.0,2.2,0.1661,APP,surge,2024-06-17,True,0.8192,0.4466,B,C,True
SKU-00110,Active Legging - L / Slate Blue,Apparel & Footwear,Athletic & Activewear,374050963462,EA,12,0.96,13.7,10.0,3.5,0.2775,APP,surge,2024-01-18,True,1.4591,0.7955,B,B,False
SKU-00111,Active Tank Top - L / Tan,Apparel & Footwear,Athletic & Activewear,721513456680,EA,12,0.98,16.3,10.1,2.2,0.2096,APP,surge,2025-05-20,True,3.5236,1.921,A,B,True
SKU-00112,Performance Tank Top - M / Navy,Apparel & Footwear,Athletic & Activewear,880484894032,EA,12,0.49,16.9,10.8,1.5,0.1584,APP,surge,2023-07-06,True,2.02,1.1013,B,B,False
SKU-00113,Swift Jogger - L / Dusty Rose,Apparel & Footwear,Athletic & Activewear,421451016813,EA,12,0.48,14.8,6.9,1.3,0.0768,APP,surge,2024-03-25,True,0.8056,0.4392,B,C,True
SKU-00114,Elite Legging - XL / Dusty Rose,Apparel & Footwear,Athletic & Activewear,428809607101,EA,12,0.35,11.6,7.4,2.8,0.1391,APP,surge,2023-05-28,True,5.2542,2.8645,A,A,False
SKU-00115,Active Hoodie - M / Tan,Apparel & Footwear,Athletic & Activewear,651940240349,EA,6,0.41,16.5,11.8,3.5,0.3944,APP,surge,2023-07-17,True,1.1926,0.6502,B,C,True
SKU-00116,Dynamic Hoodie - S / Olive,Apparel & Footwear,Athletic & Activewear,542993837541,EA,24,1.03,9.7,13.8,2.5,0.1937,APP,surge,2024-05-11,True,0.9884,0.5388,B,C,True
SKU-00117,ProFit Legging - S / Black,Apparel & Footwear,Athletic & Activewear,536444863989,EA,24,0.47,9.0,12.8,2.8,0.1867,APP,surge,2024-02-18,True,2.3742,1.2944,B,B,False
SKU-00118,Performance Legging - L / White,Apparel & Footwear,Athletic & Activewear,263533930350,EA,12,0.6,12.5,10.1,2.4,0.1753,APP,surge,2024-11-08,True,2.6669,1.454,A,B,True
SKU-00119,Elite Sports Bra - XXL / Navy,Apparel & Footwear,Athletic & Activewear,775258991516,EA,48,0.95,11.9,6.9,2.7,0.1283,APP,surge,2025-03-21,True,1.4663,0.7994,B,B,False
SKU-00120,Swift Windbreaker - L / Navy,Apparel & Footwear,Athletic & Activewear,906096950037,EA,6,1.15,11.9,13.3,2.7,0.2473,APP,surge,2022-08-28,True,1.6843,0.9183,B,B,False
SKU-00121,Active Tee - XS / Slate Blue,Apparel & Footwear,Athletic & Activewear,938893850261,EA,12,0.75,12.7,5.0,3.4,0.1249,APP,surge,2022-11-27,True,2.5145,1.3709,B,B,False
SKU-00122,ProFit Running Short - XXL / Tan,Apparel & Footwear,Athletic & Activewear,788195985311,EA,12,0.75,13.4,13.7,3.9,0.4143,APP,surge,2022-10-16,True,0.9369,0.5108,B,C,True
SKU-00123,Elite Tee - XL / Navy,Apparel & Footwear,Athletic & Activewear,949314118728,EA,6,0.73,13.6,13.8,2.8,0.3041,APP,surge,2024-06-23,True,0.8373,0.4565,B,C,True
SKU-00124,Flex Windbreaker - S / Dusty Rose,Apparel & Footwear,Athletic & Activewear,544651661376,EA,6,0.57,16.7,5.2,2.6,0.1307,APP,surge,2025-04-05,True,1.2235,0.667,B,B,False
SKU-00125,Dynamic Windbreaker - XL / Tan,Apparel & Footwear,Athletic & Activewear,514310591428,EA,12,0.72,13.2,6.9,1.4,0.0738,APP,surge,2022-04-07,True,4.4205,2.41,A,B,True
SKU-00126,Swift Windbreaker - S / Dusty Rose,Apparel & Footwear,Athletic & Activewear,341430253949,EA,24,0.37,14.5,12.8,2.9,0.3115,APP,surge,2025-04-04,True,1.657,0.9034,B,B,False
SKU-00127,Elite Tank Top - S / Olive,Apparel & Footwear,Athletic & Activewear,397891200891,EA,24,0.94,11.0,13.1,1.1,0.0917,APP,surge,2023-09-04,True,1.0777,0.5876,B,C,True
SKU-00128,Elite Legging - M / Dusty Rose,Apparel & Footwear,Athletic & Activewear,901923715219,EA,12,1.12,13.7,8.6,2.3,0.1568,APP,surge,2025-01-31,True,0.8302,0.4527,B,C,True
SKU-00129,Flex Tank Top - S / Olive,Apparel & Footwear,Athletic & Activewear,683961973535,EA,48,1.08,15.1,12.5,3.9,0.426,APP,surge,2022-07-05,True,1.0116,0.5515,B,C,True
SKU-00130,Dynamic Jogger - XL / White,Apparel & Footwear,Athletic & Activewear,832313107057,EA,24,1.17,15.0,9.3,2.4,0.1938,APP,surge,2023-12-17,True,4.8647,2.6522,A,A,False
SKU-00131,Active Running Short - S / Slate Blue,Apparel & Footwear,Athletic & Activewear,822982356989,EA,6,1.14,14.1,5.3,1.5,0.0649,APP,surge,2024-08-18,True,3.066,1.6715,A,B,True
