receipt_id,po_number,receipt_date,receipt_time,sku_id,expected_qty,received_qty,variance_qty,putaway_location,putaway_timestamp,associate_id,condition
RCPT-100044,PO-50000,2024-12-23,10:33:00,SKU-03756,110,109,-1,A-01L-005-3-A,2024-12-23 12:05:00,RCV-006,NEW
RCPT-100115,PO-50000,2024-12-23,09:33:00,SKU-03609,12,10,-2,A-01R-016-2-A,2024-12-23 12:27:00,RCV-007,NEW
RCPT-100075,PO-50000,2024-12-23,10:20:00,SKU-02554,31,31,0,C-01L-003-1-B,2024-12-23 10:57:00,RCV-001,NEW
RCPT-100046,PO-50000,2024-12-23,10:01:00,SKU-04210,12,14,2,D-02L-018-5-A,2024-12-23 10:42:00,RCV-002,NEW
RCPT-100119,PO-50000,2024-12-23,09:47:00,SKU-03831,12,10,-2,A-01L-021-5-B,2024-12-23 10:26:00,RCV-005,NEW
RCPT-100139,PO-50000,2024-12-23,08:16:00,SKU-02432,12,14,2,B-02R-013-5-A,2024-12-23 10:07:00,RCV-003,NEW
RCPT-100052,PO-50000,2024-12-23,10:39:00,SKU-04079,49,49,0,A-02L-006-4-A,2024-12-23 12:18:00,RCV-006,NEW
RCPT-100323,PO-50000,2024-12-24,06:54:00,SKU-03741,12,14,2,D-01R-001-5-A,2024-12-24 09:52:00,RCV-003,NEW
RCPT-100311,PO-50000,2024-12-24,12:01:00,SKU-02584,220,221,1,A-02L-003-1-B,2024-12-24 13:18:00,RCV-008,DAMAGED
RCPT-100290,PO-50000,2024-12-24,06:02:00,SKU-00315,103,105,2,A-03R-020-4-A,2024-12-24 07:22:00,RCV-006,NEW
RCPT-100326,PO-50000,2024-12-24,07:37:00,SKU-04597,15,13,-2,C-01L-013-5-B,2024-12-24 09:07:00,RCV-004,NEW
RCPT-100313,PO-50000,2024-12-24,11:42:00,SKU-01428,290,292,2,A-03L-006-4-A,2024-12-24 12:51:00,RCV-005,NEW
RCPT-100265,PO-50000,2024-12-24,07:55:00,SKU-01721,1152,1151,-1,A-04L-015-4-B,2024-12-24 09:06:00,RCV-004,NEW
RCPT-100312,PO-50000,2024-12-24,12:09:00,SKU-03963,12,14,2,D-01L-006-1-B,2024-12-24 13:08:00,RCV-002,NEW
RCPT-100274,PO-50000,2024-12-24,10:13:00,SKU-01073,109,110,1,B-04R-005-1-A,2024-12-24 10:58:00,RCV-008,NEW
RCPT-100300,PO-50000,2024-12-24,07:37:00,SKU-02280,25,24,-1,C-01L-026-1-A,2024-12-24 09:58:00,RCV-003,NEW
RCPT-100217,PO-50000,2024-12-24,08:14:00,SKU-04809,346,345,-1,A-01R-016-2-B,2024-12-24 08:52:00,RCV-005,NEW
RCPT-100221,PO-50000,2024-12-24,11:59:00,SKU-03095,117,119,2,B-01L-010-3-A,2024-12-24 14:46:00,RCV-008,NEW
RCPT-100259,PO-50000,2024-12-24,10:28:00,SKU-03584,88,90,2,B-02R-023-1-B,2024-12-24 12:47:00,RCV-001,NEW
RCPT-100263,PO-50000,2024-12-24,06:53:00,SKU-04196,123,125,2,A-01R-014-5-B,2024-12-24 08:25:00,RCV-003,NEW
RCPT-100327,PO-50000,2024-12-24,08:04:00,SKU-00125,61,59,-2,A-04L-010-3-B,2024-12-24 10:50:00,RCV-004,NEW
RCPT-100322,PO-50000,2024-12-24,07:45:00,SKU-03821,113,115,2,A-01R-017-3-A,2024-12-24 08:32:00,RCV-005,NEW
RCPT-100245,PO-50000,2024-12-24,12:30:00,SKU-04865,783,782,-1,A-01R-011-4-B,2024-12-24 13:33:00,RCV-007,NEW
RCPT-100194,PO-50000,2024-12-24,08:55:00,SKU-02334,12,12,0,C-02L-007-1-B,2024-12-24 11:17:00,RCV-006,NEW
RCPT-100278,PO-50000,2024-12-24,07:25:00,SKU-03077,486,484,-2,B-02L-012-4-B,2024-12-24 09:20:00,RCV-007,NEW
RCPT-100239,PO-50000,2024-12-24,11:06:00,SKU-01803,459,461,2,B-03R-020-1-A,2024-12-24 13:13:00,RCV-005,NEW
RCPT-100208,PO-50000,2024-12-24,07:39:00,SKU-02073,192,194,2,B-02L-002-5-A,2024-12-24 08:13:00,RCV-002,NEW
RCPT-100315,PO-50000,2024-12-24,11:28:00,SKU-02050,894,896,2,C-02L-007-1-A,2024-12-24 13:26:00,RCV-003,NEW
RCPT-100250,PO-50000,2024-12-24,12:22:00,SKU-01902,17,16,-1,A-03R-005-1-B,2024-12-24 15:15:00,RCV-001,NEW
RCPT-100199,PO-50000,2024-12-24,08:09:00,SKU-04608,1516,1516,0,A-02L-025-1-B,2024-12-24 09:03:00,RCV-001,NEW
RCPT-100218,PO-50000,2024-12-24,10:45:00,SKU-00406,20,20,0,B-03L-005-2-B,2024-12-24 11:26:00,RCV-005,NEW
RCPT-100280,PO-50000,2024-12-24,09:42:00,SKU-00905,12,13,1,C-04R-002-2-A,2024-12-24 10:31:00,RCV-003,NEW
RCPT-100247,PO-50000,2024-12-24,12:23:00,SKU-02886,24,24,0,B-01L-013-2-A,2024-12-24 13:10:00,RCV-002,NEW
RCPT-100283,PO-50000,2024-12-24,12:52:00,SKU-04814,361,362,1,B-02R-017-4-A,2024-12-24 13:26:00,RCV-005,NEW
RCPT-100308,PO-50000,2024-12-24,09:55:00,SKU-04783,16,14,-2,C-02L-013-5-B,2024-12-24 12:51:00,RCV-006,NEW
RCPT-100291,PO-50000,2024-12-24,09:14:00,SKU-03734,55,57,2,A-02L-002-5-A,2024-12-24 10:52:00,RCV-002,NEW
RCPT-100257,PO-50000,2024-12-24,12:38:00,SKU-02509,1754,1755,1,B-01L-020-5-A,2024-12-24 14:37:00,RCV-006,NEW
RCPT-100200,PO-50000,2024-12-24,12:44:00,SKU-03858,12,10,-2,C-02R-016-2-A,2024-12-24 13:56:00,RCV-008,NEW
RCPT-100224,PO-50000,2024-12-24,08:32:00,SKU-02609,2677,2675,-2,C-01R-013-1-B,2024-12-24 10:01:00,RCV-004,NEW
RCPT-100230,PO-50000,2024-12-24,07:59:00,SKU-02798,14,12,-2,D-01L-011-3-B,2024-12-24 10:18:00,RCV-008,NEW
RCPT-100251,PO-50000,2024-12-24,10:04:00,SKU-03654,12,10,-2,E-02R-026-2-A,2024-12-24 12:05:00,RCV-001,NEW
RCPT-100210,PO-50000,2024-12-24,11:03:00,SKU-03908,39,38,-1,A-02R-004-5-B,2024-12-24 12:24:00,RCV-006,NEW
RCPT-100516,PO-50000,2024-12-25,06:11:00,SKU-04973,12,10,-2,E-01R-014-1-A,2024-12-25 06:56:00,RCV-005,NEW
RCPT-100466,PO-50000,2024-12-25,12:14:00,SKU-02640,18,19,1,D-02R-026-1-B,2024-12-25 14:18:00,RCV-007,NEW
RCPT-100469,PO-50000,2024-12-25,07:22:00,SKU-01857,123,121,-2,A-04R-005-1-A,2024-12-25 10:11:00,RCV-003,DAMAGED
RCPT-100353,PO-50000,2024-12-25,07:55:00,SKU-01803,863,861,-2,B-03R-020-1-A,2024-12-25 08:28:00,RCV-001,NEW
RCPT-100499,PO-50000,2024-12-25,09:36:00,SKU-00984,12,11,-1,E-03R-015-1-B,2024-12-25 12:34:00,RCV-003,NEW
RCPT-100478,PO-50000,2024-12-25,11:07:00,SKU-00158,34,32,-2,C-04L-010-3-A,2024-12-25 12:56:00,RCV-008,NEW
RCPT-100383,PO-50000,2024-12-25,07:10:00,SKU-04538,656,658,2,A-01R-001-1-B,2024-12-25 07:56:00,RCV-003,NEW
RCPT-100484,PO-50000,2024-12-25,08:06:00,SKU-00466,114,113,-1,C-04R-016-1-B,2024-12-25 08:56:00,RCV-008,NEW
RCPT-100501,PO-50000,2024-12-25,09:08:00,SKU-00513,59,57,-2,B-04R-019-2-A,2024-12-25 10:39:00,RCV-005,NEW
RCPT-100438,PO-50000,2024-12-25,12:46:00,SKU-00303,75,73,-2,B-03L-008-1-A,2024-12-25 15:07:00,RCV-007,NEW
RCPT-100482,PO-50000,2024-12-25,09:41:00,SKU-04928,455,456,1,B-01L-013-2-B,2024-12-25 11:36:00,RCV-002,NEW
RCPT-100335,PO-50000,2024-12-25,11:00:00,SKU-01147,13,11,-2,C-04R-004-4-A,2024-12-25 12:44:00,RCV-008,NEW
RCPT-100359,PO-50000,2024-12-25,09:48:00,SKU-04773,12,10,-2,C-02R-005-3-B,2024-12-25 11:47:00,RCV-002,NEW
RCPT-100433,PO-50000,2024-12-25,09:37:00,SKU-04895,21,22,1,B-02L-011-5-A,2024-12-25 10:20:00,RCV-007,NEW
RCPT-100360,PO-50000,2024-12-25,10:03:00,SKU-01015,98,96,-2,A-03R-009-3-A,2024-12-25 11:35:00,RCV-001,NEW
RCPT-100513,PO-50000,2024-12-25,10:50:00,SKU-02045,371,372,1,B-01R-025-3-A,2024-12-25 13:23:00,RCV-003,NEW
RCPT-100503,PO-50000,2024-12-25,12:12:00,SKU-03812,13,12,-1,B-01L-010-4-B,2024-12-25 15:10:00,RCV-003,NEW
RCPT-100346,PO-50000,2024-12-25,08:00:00,SKU-04071,12,10,-2,C-02R-023-2-B,2024-12-25 09:30:00,RCV-001,NEW
RCPT-100520,PO-50000,2024-12-25,06:09:00,SKU-02185,482,484,2,C-01R-009-4-B,2024-12-25 07:53:00,RCV-006,NEW
RCPT-100424,PO-50000,2024-12-25,07:15:00,SKU-04623,56,57,1,B-01R-007-5-A,2024-12-25 07:48:00,RCV-006,NEW
RCPT-100367,PO-50000,2024-12-25,08:15:00,SKU-00076,69,71,2,C-03R-008-3-B,2024-12-25 09:14:00,RCV-005,NEW
RCPT-100369,PO-50000,2024-12-25,09:05:00,SKU-03638,16,17,1,C-02R-023-5-A,2024-12-25 11:35:00,RCV-006,NEW
RCPT-100457,PO-50000,2024-12-25,10:09:00,SKU-00580,12,13,1,D-03R-012-4-A,2024-12-25 12:48:00,RCV-002,NEW
RCPT-100439,PO-50000,2024-12-25,09:52:00,SKU-02377,27,25,-2,C-02L-009-2-B,2024-12-25 12:46:00,RCV-007,NEW
RCPT-100409,PO-50000,2024-12-25,08:13:00,SKU-04523,55,57,2,A-02L-024-2-B,2024-12-25 10:35:00,RCV-007,NEW
RCPT-100408,PO-50000,2024-12-25,11:02:00,SKU-02252,270,269,-1,B-02R-025-2-A,2024-12-25 13:01:00,RCV-007,NEW
RCPT-100344,PO-50000,2024-12-25,12:24:00,SKU-01372,12,10,-2,D-04L-012-1-B,2024-12-25 13:17:00,RCV-003,NEW
RCPT-100512,PO-50000,2024-12-25,07:02:00,SKU-01699,25,24,-1,B-04L-005-4-B,2024-12-25 07:38:00,RCV-005,NEW
RCPT-100341,PO-50000,2024-12-25,09:06:00,SKU-00673,172,170,-2,C-03L-015-4-A,2024-12-25 10:35:00,RCV-001,NEW
RCPT-100474,PO-50000,2024-12-25,12:42:00,SKU-00214,30,31,1,D-03L-001-1-B,2024-12-25 14:16:00,RCV-001,NEW
RCPT-100385,PO-50000,2024-12-25,12:11:00,SKU-02192,12,13,1,E-01L-022-3-B,2024-12-25 13:57:00,RCV-006,NEW
RCPT-100459,PO-50000,2024-12-25,11:53:00,SKU-04347,188,187,-1,B-02R-012-5-B,2024-12-25 12:53:00,RCV-007,NEW
RCPT-100334,PO-50000,2024-12-25,07:30:00,SKU-02668,36,35,-1,A-01R-006-1-A,2024-12-25 08:11:00,RCV-002,NEW
RCPT-100491,PO-50000,2024-12-25,08:41:00,SKU-01134,12,13,1,E-03L-010-3-B,2024-12-25 10:41:00,RCV-007,NEW
RCPT-100451,PO-50000,2024-12-25,10:18:00,SKU-04528,1280,1282,2,B-02R-014-3-B,2024-12-25 11:22:00,RCV-001,NEW
RCPT-100410,PO-50000,2024-12-25,07:45:00,SKU-04435,510,509,-1,A-02R-016-4-A,2024-12-25 09:46:00,RCV-007,NEW
RCPT-100380,PO-50000,2024-12-25,07:35:00,SKU-03357,228,228,0,A-02R-015-3-B,2024-12-25 10:08:00,RCV-008,NEW
RCPT-100345,PO-50000,2024-12-25,10:55:00,SKU-04901,12,12,0,E-01L-005-4-A,2024-12-25 13:10:00,RCV-002,NEW
RCPT-100428,PO-50000,2024-12-25,07:07:00,SKU-01428,335,336,1,A-03L-006-4-A,2024-12-25 08:34:00,RCV-008,NEW
RCPT-100373,PO-50000,2024-12-25,12:07:00,SKU-00844,12,10,-2,D-04R-013-3-B,2024-12-25 13:02:00,RCV-001,NEW
RCPT-100447,PO-50000,2024-12-25,09:48:00,SKU-01678,36,37,1,A-03L-012-3-B,2024-12-25 11:02:00,RCV-008,NEW
RCPT-100397,PO-50000,2024-12-25,11:15:00,SKU-01170,425,427,2,A-03L-002-3-B,2024-12-25 13:17:00,RCV-001,NEW
RCPT-100509,PO-50000,2024-12-25,08:49:00,SKU-00034,311,310,-1,A-04L-017-3-A,2024-12-25 11:21:00,RCV-001,NEW
RCPT-100423,PO-50000,2024-12-25,11:15:00,SKU-01463,179,178,-1,A-04L-004-3-B,2024-12-25 12:14:00,RCV-008,NEW
RCPT-100351,PO-50000,2024-12-25,07:35:00,SKU-01331,833,833,0,A-03R-003-4-B,2024-12-25 08:16:00,RCV-003,NEW
RCPT-100643,PO-50000,2024-12-26,10:17:00,SKU-01552,594,593,-1,A-04R-001-1-B,2024-12-26 11:58:00,RCV-001,NEW
RCPT-100616,PO-50000,2024-12-26,06:44:00,SKU-02627,20,18,-2,B-01L-001-2-A,2024-12-26 08:55:00,RCV-003,NEW
RCPT-100673,PO-50000,2024-12-26,10:22:00,SKU-01985,19,18,-1,A-04R-016-3-B,2024-12-26 11:07:00,RCV-008,NEW
RCPT-100640,PO-50000,2024-12-26,11:45:00,SKU-01068,153,152,-1,B-03L-012-3-B,2024-12-26 14:12:00,RCV-006,NEW
RCPT-100554,PO-50000,2024-12-26,08:48:00,SKU-01620,41,42,1,A-03L-010-4-A,2024-12-26 09:42:00,RCV-005,NEW
RCPT-100631,PO-50000,2024-12-26,11:22:00,SKU-03465,180,178,-2,B-01R-013-4-A,2024-12-26 11:54:00,RCV-003,NEW
RCPT-100563,PO-50000,2024-12-26,09:18:00,SKU-00239,387,389,2,A-04L-019-1-B,2024-12-26 10:22:00,RCV-001,NEW
RCPT-100664,PO-50000,2024-12-26,12:10:00,SKU-01222,12,13,1,A-04L-010-1-A,2024-12-26 14:57:00,RCV-006,NEW
RCPT-100536,PO-50000,2024-12-26,11:58:00,SKU-02366,3044,3043,-1,A-01R-020-4-A,2024-12-26 14:07:00,RCV-005,NEW
RCPT-100688,PO-50000,2024-12-26,08:34:00,SKU-00483,236,237,1,C-03L-009-3-A,2024-12-26 10:24:00,RCV-008,NEW
RCPT-100584,PO-50000,2024-12-26,11:23:00,SKU-04851,27,26,-1,C-02L-002-2-A,2024-12-26 13:36:00,RCV-008,NEW
RCPT-100610,PO-50000,2024-12-26,07:09:00,SKU-00839,31,30,-1,B-04R-011-4-B,2024-12-26 09:21:00,RCV-005,NEW
RCPT-100606,PO-50000,2024-12-26,10:57:00,SKU-02336,36,34,-2,D-01R-001-4-A,2024-12-26 13:24:00,RCV-004,NEW
RCPT-100638,PO-50000,2024-12-26,12:55:00,SKU-00237,12,13,1,B-03L-005-1-B,2024-12-26 14:53:00,RCV-005,NEW
RCPT-100618,PO-50000,2024-12-26,08:32:00,SKU-01043,49,47,-2,A-03L-007-2-B,2024-12-26 11:02:00,RCV-004,NEW
RCPT-100531,PO-50000,2024-12-26,10:39:00,SKU-04664,199,199,0,A-02R-002-3-A,2024-12-26 11:48:00,RCV-002,NEW
RCPT-100575,PO-50000,2024-12-26,07:56:00,SKU-01696,130,132,2,B-03L-009-3-B,2024-12-26 09:42:00,RCV-002,NEW
RCPT-100683,PO-50000,2024-12-26,09:12:00,SKU-02807,105,106,1,A-02L-026-2-A,2024-12-26 11:38:00,RCV-001,NEW
RCPT-100585,PO-50000,2024-12-26,06:42:00,SKU-00422,132,134,2,A-03R-005-2-B,2024-12-26 09:34:00,RCV-001,NEW
RCPT-100681,PO-50000,2024-12-26,08:00:00,SKU-01527,63,62,-1,A-04L-008-1-A,2024-12-26 10:54:00,RCV-003,NEW
RCPT-100655,PO-50000,2024-12-26,11:56:00,SKU-01170,354,354,0,A-03L-002-3-B,2024-12-26 14:53:00,RCV-005,NEW
RCPT-100668,PO-50000,2024-12-26,11:36:00,SKU-04733,396,397,1,A-01R-018-1-A,2024-12-26 14:22:00,RCV-008,NEW
RCPT-100649,PO-50000,2024-12-26,10:03:00,SKU-01968,54,54,0,D-03L-004-4-A,2024-12-26 11:23:00,RCV-008,NEW
RCPT-100624,PO-50000,2024-12-26,08:31:00,SKU-03968,42,44,2,A-02L-019-2-B,2024-12-26 10:10:00,RCV-005,NEW
RCPT-100635,PO-50000,2024-12-26,12:39:00,SKU-00375,28,28,0,D-04R-007-4-B,2024-12-26 13:31:00,RCV-004,NEW
RCPT-100547,PO-50000,2024-12-26,06:56:00,SKU-01121,1873,1875,2,B-04R-017-4-A,2024-12-26 08:31:00,RCV-005,NEW
RCPT-100538,PO-50000,2024-12-26,06:23:00,SKU-02585,2649,2650,1,A-01R-012-4-A,2024-12-26 08:12:00,RCV-008,NEW
RCPT-100674,PO-50000,2024-12-26,10:45:00,SKU-01207,207,206,-1,B-04R-018-4-B,2024-12-26 12:28:00,RCV-006,NEW
RCPT-100576,PO-50000,2024-12-26,09:12:00,SKU-02839,21,21,0,C-01R-026-1-A,2024-12-26 10:37:00,RCV-002,NEW
RCPT-100586,PO-50000,2024-12-26,06:48:00,SKU-04421,12,13,1,D-02L-008-5-A,2024-12-26 09:17:00,RCV-003,NEW
RCPT-100812,PO-50000,2024-12-27,11:12:00,SKU-02326,12,10,-2,E-01R-018-5-B,2024-12-27 12:51:00,RCV-006,NEW
RCPT-100809,PO-50000,2024-12-27,11:56:00,SKU-00108,25,25,0,B-03L-019-4-A,2024-12-27 14:52:00,RCV-004,NEW
RCPT-100708,PO-50000,2024-12-27,10:49:00,SKU-02908,5300,5299,-1,B-02L-005-3-A,2024-12-27 13:17:00,RCV-001,NEW
RCPT-100829,PO-50000,2024-12-27,06:36:00,SKU-02939,276,278,2,A-02R-016-5-A,2024-12-27 09:18:00,RCV-008,NEW
RCPT-100828,PO-50000,2024-12-27,08:17:00,SKU-00137,206,207,1,B-03R-003-1-B,2024-12-27 09:53:00,RCV-002,NEW
RCPT-100766,PO-50000,2024-12-27,12:45:00,SKU-03743,12,11,-1,D-02L-025-3-B,2024-12-27 14:32:00,RCV-003,NEW
RCPT-100720,PO-50000,2024-12-27,12:36:00,SKU-03727,5252,5250,-2,B-02R-023-4-A,2024-12-27 13:24:00,RCV-008,NEW
RCPT-100744,PO-50000,2024-12-27,10:33:00,SKU-00946,12,11,-1,C-04L-010-2-A,2024-12-27 13:05:00,RCV-008,NEW
RCPT-100790,PO-50000,2024-12-27,12:28:00,SKU-02204,42,41,-1,A-02R-008-4-B,2024-12-27 14:51:00,RCV-001,NEW
RCPT-100733,PO-50000,2024-12-27,08:38:00,SKU-02242,184,186,2,B-02R-026-1-A,2024-12-27 09:52:00,RCV-003,NEW
RCPT-100715,PO-50000,2024-12-27,11:18:00,SKU-02016,85,85,0,A-02L-016-1-A,2024-12-27 12:22:00,RCV-003,NEW
RCPT-100776,PO-50000,2024-12-27,08:34:00,SKU-04435,382,383,1,A-02R-016-4-A,2024-12-27 10:39:00,RCV-004,NEW
RCPT-100748,PO-50000,2024-12-27,10:41:00,SKU-01121,1536,1536,0,B-04R-017-4-A,2024-12-27 12:43:00,RCV-001,NEW
RCPT-100697,PO-50000,2024-12-27,12:05:00,SKU-03880,12,10,-2,B-01L-003-5-A,2024-12-27 13:39:00,RCV-007,NEW
RCPT-100838,PO-50000,2024-12-27,08:03:00,SKU-03356,264,264,0,A-02L-015-2-A,2024-12-27 08:36:00,RCV-002,NEW
RCPT-100718,PO-50000,2024-12-27,07:26:00,SKU-00872,4116,4117,1,A-04L-005-1-A,2024-12-27 08:45:00,RCV-003,NEW
RCPT-100833,PO-50000,2024-12-27,12:39:00,SKU-00107,12,11,-1,E-04R-008-4-A,2024-12-27 13:36:00,RCV-005,NEW
RCPT-100695,PO-50000,2024-12-27,09:30:00,SKU-04353,373,372,-1,B-02L-022-4-A,2024-12-27 10:11:00,RCV-002,NEW
RCPT-100803,PO-50000,2024-12-27,12:09:00,SKU-01559,40,40,0,A-03L-003-4-B,2024-12-27 15:05:00,RCV-001,NEW
RCPT-100742,PO-50000,2024-12-27,08:33:00,SKU-03541,12,14,2,C-02R-024-1-B,2024-12-27 10:32:00,RCV-008,NEW
RCPT-100735,PO-50000,2024-12-27,06:25:00,SKU-02564,244,242,-2,C-01L-011-5-B,2024-12-27 09:14:00,RCV-005,NEW
RCPT-100819,PO-50000,2024-12-27,09:25:00,SKU-03600,162,162,0,A-01L-017-2-B,2024-12-27 11:30:00,RCV-007,NEW
RCPT-100817,PO-50000,2024-12-27,11:04:00,SKU-00447,195,193,-2,A-04L-008-2-A,2024-12-27 12:01:00,RCV-008,NEW
RCPT-100752,PO-50000,2024-12-27,09:42:00,SKU-00017,544,543,-1,B-03R-001-4-B,2024-12-27 12:26:00,RCV-004,NEW
RCPT-100725,PO-50000,2024-12-27,11:08:00,SKU-03197,29,30,1,A-01R-017-4-A,2024-12-27 13:45:00,RCV-003,NEW
RCPT-100696,PO-50000,2024-12-27,11:56:00,SKU-02509,1810,1808,-2,B-01L-020-5-A,2024-12-27 14:13:00,RCV-008,NEW
RCPT-100826,PO-50000,2024-12-27,11:58:00,SKU-02117,92,93,1,B-01R-025-4-B,2024-12-27 12:44:00,RCV-006,NEW
RCPT-100738,PO-50000,2024-12-27,10:27:00,SKU-03640,42,42,0,B-02L-016-1-A,2024-12-27 11:24:00,RCV-001,NEW
RCPT-100964,PO-50001,2024-12-28,09:40:00,SKU-04052,12,12,0,D-01L-016-4-B,2024-12-28 10:29:00,RCV-003,NEW
RCPT-100913,PO-50001,2024-12-28,08:06:00,SKU-01600,51,50,-1,B-03R-016-1-B,2024-12-28 10:09:00,RCV-003,NEW
RCPT-100880,PO-50001,2024-12-28,11:24:00,SKU-00993,17,19,2,A-03L-015-4-B,2024-12-28 12:37:00,RCV-003,NEW
RCPT-100936,PO-50001,2024-12-28,12:50:00,SKU-02592,12,12,0,C-02L-004-3-B,2024-12-28 13:28:00,RCV-007,NEW
RCPT-100907,PO-50001,2024-12-28,10:40:00,SKU-04733,603,602,-1,A-01R-018-1-A,2024-12-28 13:19:00,RCV-003,NEW
RCPT-100878,PO-50001,2024-12-28,11:04:00,SKU-02407,124,124,0,A-01L-004-2-A,2024-12-28 14:02:00,RCV-003,NEW
RCPT-100971,PO-50001,2024-12-28,09:07:00,SKU-00025,15,15,0,B-03L-020-3-A,2024-12-28 11:32:00,RCV-008,NEW
RCPT-100856,PO-50001,2024-12-28,07:23:00,SKU-04041,10668,10668,0,A-02R-002-2-B,2024-12-28 08:32:00,RCV-006,NEW
RCPT-100875,PO-50001,2024-12-28,07:53:00,SKU-02681,2251,2249,-2,A-01R-018-4-B,2024-12-28 10:12:00,RCV-006,NEW
RCPT-100898,PO-50001,2024-12-28,09:45:00,SKU-01652,284,283,-1,B-04R-013-1-B,2024-12-28 11:54:00,RCV-008,NEW
RCPT-100911,PO-50001,2024-12-28,08:05:00,SKU-01121,1585,1583,-2,B-04R-017-4-A,2024-12-28 09:36:00,RCV-004,NEW
RCPT-100970,PO-50001,2024-12-28,10:46:00,SKU-01339,60,60,0,B-04R-005-2-A,2024-12-28 12:13:00,RCV-005,NEW
RCPT-100866,PO-50001,2024-12-28,08:16:00,SKU-01490,2159,2159,0,B-04R-009-1-A,2024-12-28 10:57:00,RCV-007,NEW
RCPT-100945,PO-50001,2024-12-28,07:15:00,SKU-04717,145,143,-2,B-02R-006-3-B,2024-12-28 08:59:00,RCV-003,NEW
RCPT-100852,PO-50001,2024-12-28,12:16:00,SKU-04608,1901,1899,-2,A-02L-025-1-B,2024-12-28 13:42:00,RCV-001,NEW
RCPT-100928,PO-50001,2024-12-28,06:01:00,SKU-04538,594,595,1,A-01R-001-1-B,2024-12-28 06:31:00,RCV-006,NEW
RCPT-100843,PO-50001,2024-12-28,11:13:00,SKU-02775,305,307,2,C-01R-023-3-A,2024-12-28 11:58:00,RCV-003,NEW
