snapshot_date,sku_id,location_code,zone,shelf_type,ergonomic_tier,level_height_in,dist_from_dock_ft,qty_on_hand,qty_allocated,qty_available,days_since_last_replenishment,last_replenishment_date,abc_tier_at_slotting,abc_tier_current,slotting_drift,current_vel_picks_per_day
2025-06-20,SKU-00037,A-03L-004-3-A,A,APP,prime,45,50,853,57,796,2,2025-06-18,A,A,False,86.052
2025-06-20,SKU-00038,C-03R-012-4-A,C,APP,sub_prime,63,275,22,2,20,12,2025-06-08,B,B,False,1.862
2025-06-20,SKU-00039,C-03R-017-4-B,C,APP,sub_prime,63,275,62,1,61,5,2025-06-15,B,A,True,3.35
2025-06-20,SKU-00040,D-03L-013-2-A,D,APP,prime,27,400,10,0,10,7,2025-06-13,C,B,True,0.877
2025-06-20,SKU-00041,B-04L-010-3-A,B,APP,prime,45,150,21,0,21,5,2025-06-15,B,B,False,1.621
2025-06-20,SKU-00042,E-04L-014-3-B,E,APP,prime,45,525,19,0,19,7,2025-06-13,C,B,True,1.008
2025-06-20,SKU-00043,D-04L-013-3-A,D,APP,prime,45,400,17,1,16,12,2025-06-08,C,B,True,1.202
2025-06-20,SKU-00044,B-03R-009-3-A,B,APP,prime,45,150,37,5,32,5,2025-06-15,A,A,False,4.871
2025-06-20,SKU-00045,A-04R-015-3-B,A,APP,prime,45,50,29,0,29,2,2025-06-18,B,B,False,1.593
2025-06-20,SKU-00046,B-03L-005-2-A,B,APP,prime,27,150,917,36,881,10,2025-06-10,A,A,False,45.557
2025-06-20,SKU-00047,A-03L-014-4-B,A,APP,sub_prime,63,50,54,9,45,13,2025-06-07,A,A,False,6.508
2025-06-20,SKU-00048,D-04L-014-4-B,D,APP,sub_prime,63,400,13,0,13,13,2025-06-07,B,B,False,1.427
2025-06-20,SKU-00049,C-04R-019-2-A,C,APP,prime,27,275,6,0,6,17,2025-06-03,C,B,True,0.788
2025-06-20,SKU-00050,B-04L-009-3-A,B,APP,prime,45,150,15,0,15,15,2025-06-05,C,B,True,0.799
2025-06-20,SKU-00051,C-03R-003-2-A,C,APP,prime,27,275,9,0,9,4,2025-06-16,B,B,False,1.261
2025-06-20,SKU-00052,C-03R-007-1-B,C,APP,floor,9,275,12,0,12,4,2025-06-16,B,B,False,1.26
2025-06-20,SKU-00053,B-03L-010-3-B,B,APP,prime,45,150,34,3,31,13,2025-06-07,B,B,False,2.629
2025-06-20,SKU-00054,C-03L-020-3-A,C,APP,prime,45,275,9,0,9,1,2025-06-19,C,B,True,1.206
2025-06-20,SKU-00055,D-04L-018-4-B,D,APP,sub_prime,63,400,55,5,50,8,2025-06-12,B,A,True,3.059
2025-06-20,SKU-00056,C-04R-006-2-A,C,APP,prime,27,275,85,5,80,13,2025-06-07,B,A,True,4.303
2025-06-20,SKU-00057,C-03R-010-4-A,C,APP,sub_prime,63,275,24,1,23,12,2025-06-08,B,B,False,1.475
2025-06-20,SKU-00058,D-04L-002-1-A,D,APP,floor,9,400,21,1,20,18,2025-06-02,B,B,False,1.323
2025-06-20,SKU-00059,D-03L-008-2-A,D,APP,prime,27,400,10,0,10,7,2025-06-13,C,B,True,0.855
2025-06-20,SKU-00060,C-03R-007-3-A,C,APP,prime,45,275,63,1,62,12,2025-06-08,B,A,True,3.464
2025-06-20,SKU-00061,D-03L-004-3-A,D,APP,prime,45,400,4,0,4,11,2025-06-09,C,B,True,0.898
2025-06-20,SKU-00062,C-03R-020-1-B,C,APP,floor,9,275,21,0,21,20,2025-05-31,B,B,False,1.483
2025-06-20,SKU-00063,C-04L-014-4-A,C,APP,sub_prime,63,275,31,3,28,2,2025-06-18,A,A,False,4.853
2025-06-20,SKU-00064,E-03L-020-3-A,E,APP,prime,45,525,20,1,19,9,2025-06-11,C,B,True,1.059
2025-06-20,SKU-00065,B-03R-002-4-B,B,APP,sub_prime,63,150,27,1,26,1,2025-06-19,B,B,False,1.45
2025-06-20,SKU-00066,D-03R-020-1-B,D,APP,floor,9,400,5,0,5,4,2025-06-16,C,B,True,0.794
2025-06-20,SKU-00067,D-04R-013-3-A,D,APP,prime,45,400,10,1,9,18,2025-06-02,B,B,False,1.299
2025-06-20,SKU-00068,E-03R-020-3-A,E,APP,prime,45,525,17,0,17,8,2025-06-12,C,B,True,0.993
2025-06-20,SKU-00069,C-03L-018-2-A,C,APP,prime,27,275,15,0,15,12,2025-06-08,C,B,True,0.794
2025-06-20,SKU-00070,C-04R-001-3-B,C,APP,prime,45,275,21,1,20,16,2025-06-04,C,B,True,1.083
2025-06-20,SKU-00071,E-03R-018-1-B,E,APP,floor,9,525,11,0,11,20,2025-05-31,C,B,True,1.084
2025-06-20,SKU-00072,C-04L-012-1-B,C,APP,floor,9,275,16,2,14,10,2025-06-10,B,B,False,1.583
2025-06-20,SKU-00073,E-03R-011-1-B,E,APP,floor,9,525,8,0,8,13,2025-06-07,C,B,True,1.182
2025-06-20,SKU-00074,E-03R-018-1-A,E,APP,floor,9,525,10,0,10,19,2025-06-01,C,B,True,0.907
2025-06-20,SKU-00075,E-03R-001-4-A,E,APP,sub_prime,63,525,5,1,4,11,2025-06-09,C,B,True,1.159
2025-06-20,SKU-00076,C-03R-008-3-B,C,APP,prime,45,275,107,13,94,6,2025-06-14,A,A,False,7.447
2025-06-20,SKU-00077,D-04L-002-2-B,D,APP,prime,27,400,18,1,17,11,2025-06-09,C,B,True,1.171
2025-06-20,SKU-00078,C-03R-013-4-A,C,APP,sub_prime,63,275,9,1,8,13,2025-06-07,B,B,False,1.227
2025-06-20,SKU-00079,A-03R-013-2-B,A,APP,prime,27,50,178,14,164,9,2025-06-11,A,A,False,17.365
2025-06-20,SKU-00080,D-04R-012-4-B,D,APP,sub_prime,63,400,6,1,5,7,2025-06-13,C,B,True,1.08
2025-06-20,SKU-00081,D-04R-008-3-B,D,APP,prime,45,400,9,0,9,6,2025-06-14,C,B,True,1.005
2025-06-20,SKU-00082,D-03L-010-2-B,D,APP,prime,27,400,10,0,10,9,2025-06-11,C,B,True,1.001
2025-06-20,SKU-00083,D-03R-008-4-B,D,APP,sub_prime,63,400,20,0,20,15,2025-06-05,B,B,False,1.424
2025-06-20,SKU-00084,A-03L-015-3-A,A,APP,prime,45,50,273,23,250,15,2025-06-05,A,A,False,20.819
2025-06-20,SKU-00085,E-04L-002-1-B,E,APP,floor,9,525,9,0,9,7,2025-06-13,C,B,True,0.879
2025-06-20,SKU-00086,E-03L-006-4-B,E,APP,sub_prime,63,525,21,0,21,18,2025-06-02,C,B,True,1.167
2025-06-20,SKU-00087,A-04L-011-4-A,A,APP,sub_prime,63,50,64,15,49,15,2025-06-05,A,A,False,9.633
2025-06-20,SKU-00088,C-03L-003-1-A,C,APP,floor,9,275,9,0,9,13,2025-06-07,C,B,True,0.915
2025-06-20,SKU-00089,D-03L-006-1-A,D,APP,floor,9,400,10,0,10,7,2025-06-13,C,B,True,0.784
2025-06-20,SKU-00090,C-04R-005-2-A,C,APP,prime,27,275,259,19,240,18,2025-06-02,A,A,False,15.126
2025-06-20,SKU-00091,D-03R-010-2-A,D,APP,prime,27,400,33,1,32,12,2025-06-08,B,B,False,1.709
2025-06-20,SKU-00092,C-03R-008-2-B,C,APP,prime,27,275,4,0,4,6,2025-06-14,C,B,True,0.803
2025-06-20,SKU-00093,B-04L-018-1-A,B,APP,floor,9,150,11,0,11,18,2025-06-02,B,B,False,1.681
2025-06-20,SKU-00094,D-03L-017-2-B,D,APP,prime,27,400,23,5,18,18,2025-06-02,B,A,True,4.08
2025-06-20,SKU-00095,C-03L-015-3-B,C,APP,prime,45,275,15,2,13,15,2025-06-05,B,B,False,2.255
2025-06-20,SKU-00096,C-03R-002-1-A,C,APP,floor,9,275,14,0,14,13,2025-06-07,B,B,False,2.44
2025-06-20,SKU-00097,B-04R-020-1-B,B,APP,floor,9,150,19,1,18,12,2025-06-08,B,B,False,1.23
2025-06-20,SKU-00098,E-03L-010-4-B,E,APP,sub_prime,63,525,12,0,12,1,2025-06-19,C,B,True,0.906
2025-06-20,SKU-00099,B-04L-002-2-A,B,APP,prime,27,150,10,2,8,1,2025-06-19,B,B,False,2.143
2025-06-20,SKU-00100,D-04L-002-4-A,D,APP,sub_prime,63,400,15,1,14,2,2025-06-18,B,B,False,2.627
2025-06-20,SKU-00101,B-04L-005-3-B,B,APP,prime,45,150,12,1,11,4,2025-06-16,B,B,False,1.403
2025-06-20,SKU-00102,D-03R-015-4-A,D,APP,sub_prime,63,400,19,1,18,2,2025-06-18,C,B,True,1.125
2025-06-20,SKU-00103,C-04L-019-1-B,C,APP,floor,9,275,26,0,26,5,2025-06-15,B,B,False,1.339
2025-06-20,SKU-00104,D-03R-018-4-B,D,APP,sub_prime,63,400,6,0,6,1,2025-06-19,C,B,True,0.936
2025-06-20,SKU-00105,D-03R-006-3-A,D,APP,prime,45,400,39,1,38,15,2025-06-05,B,B,False,2.075
2025-06-20,SKU-00106,E-04L-016-3-B,E,APP,prime,45,525,15,0,15,11,2025-06-09,C,B,True,0.999
2025-06-20,SKU-00107,E-04R-008-4-A,E,APP,sub_prime,63,525,14,1,13,1,2025-06-19,C,B,True,1.169
2025-06-20,SKU-00108,B-03L-019-4-A,B,APP,sub_prime,63,150,38,3,35,16,2025-06-04,B,B,False,2.479
2025-06-20,SKU-00109,E-03R-015-2-A,E,APP,prime,27,525,11,0,11,10,2025-06-10,C,B,True,0.819
2025-06-20,SKU-00110,C-03L-009-1-A,C,APP,floor,9,275,18,0,18,9,2025-06-11,B,B,False,1.459
2025-06-20,SKU-00111,E-04L-010-2-A,E,APP,prime,27,525,59,2,57,9,2025-06-11,B,A,True,3.524
2025-06-20,SKU-00112,B-04L-009-4-A,B,APP,sub_prime,63,150,27,0,27,17,2025-06-03,B,B,False,2.02
2025-06-20,SKU-00113,D-04L-006-2-A,D,APP,prime,27,400,13,0,13,6,2025-06-14,C,B,True,0.806
2025-06-20,SKU-00114,A-03L-010-3-B,A,APP,prime,45,50,95,1,94,1,2025-06-19,A,A,False,5.254
2025-06-20,SKU-00115,D-03L-020-2-A,D,APP,prime,27,400,12,0,12,12,2025-06-08,C,B,True,1.193
2025-06-20,SKU-00116,D-04L-005-1-B,D,APP,floor,9,400,19,0,19,17,2025-06-03,C,B,True,0.988
2025-06-20,SKU-00117,D-04R-011-1-A,D,APP,floor,9,400,39,0,39,16,2025-06-04,B,B,False,2.374
2025-06-20,SKU-00118,E-04R-005-1-B,E,APP,floor,9,525,45,0,45,7,2025-06-13,B,A,True,2.667
2025-06-20,SKU-00119,C-04R-015-2-A,C,APP,prime,27,275,22,1,21,18,2025-06-02,B,B,False,1.466
2025-06-20,SKU-00120,D-03L-019-3-A,D,APP,prime,45,400,32,2,30,1,2025-06-19,B,B,False,1.684
2025-06-20,SKU-00121,C-03L-005-4-B,C,APP,sub_prime,63,275,27,3,24,18,2025-06-02,B,B,False,2.514
2025-06-20,SKU-00122,C-04R-016-2-B,C,APP,prime,27,275,13,0,13,1,2025-06-19,C,B,True,0.937
2025-06-20,SKU-00123,D-03L-019-4-B,D,APP,sub_prime,63,400,12,0,12,18,2025-06-02,C,B,True,0.837
2025-06-20,SKU-00124,C-03L-012-3-A,C,APP,prime,45,275,7,0,7,14,2025-06-06,B,B,False,1.224
2025-06-20,SKU-00125,A-04L-010-3-B,A,APP,prime,45,50,85,4,81,17,2025-06-03,B,A,True,4.42
2025-06-20,SKU-00126,D-04L-020-2-A,D,APP,prime,27,400,33,1,32,15,2025-06-05,B,B,False,1.657
2025-06-20,SKU-00127,D-04L-003-3-B,D,APP,prime,45,400,9,1,8,8,2025-06-12,C,B,True,1.078
2025-06-20,SKU-00128,C-04L-001-2-A,C,APP,prime,27,275,12,0,12,12,2025-06-08,C,B,True,0.83
2025-06-20,SKU-00129,C-03L-018-4-B,C,APP,sub_prime,63,275,20,1,19,10,2025-06-10,C,B,True,1.012
2025-06-20,SKU-00130,A-03R-001-2-A,A,APP,prime,27,50,68,2,66,13,2025-06-07,A,A,False,4.865
2025-06-20,SKU-00131,C-04R-005-3-A,C,APP,prime,45,275,39,1,38,15,2025-06-05,B,A,True,3.066
2025-06-20,SKU-00132,A-04R-016-4-B,A,APP,sub_prime,63,50,352,3,349,12,2025-06-08,A,A,False,36.19
2025-06-20,SKU-00133,D-03L-016-3-A,D,APP,prime,45,400,11,0,11,1,2025-06-19,C,B,True,0.898
2025-06-20,SKU-00134,E-04R-012-1-B,E,APP,floor,9,525,9,0,9,9,2025-06-11,C,B,True,1.138
2025-06-20,SKU-00135,C-04R-004-2-B,C,APP,prime,27,275,15,0,15,16,2025-06-04,B,B,False,1.641
2025-06-20,SKU-00136,C-03R-001-4-B,C,APP,sub_prime,63,275,18,0,18,5,2025-06-15,B,B,False,1.463
2025-06-20,SKU-00137,B-03R-003-1-B,B,APP,floor,9,150,171,21,150,1,2025-06-19,A,A,False,13.98
2025-06-20,SKU-00138,A-04R-012-4-A,A,APP,sub_prime,63,50,33,5,28,7,2025-06-13,B,A,True,4.466
2025-06-20,SKU-00139,B-04L-007-4-A,B,APP,sub_prime,63,150,21,2,19,14,2025-06-06,B,B,False,1.701
2025-06-20,SKU-00140,C-03R-009-1-B,C,APP,floor,9,275,6,0,6,9,2025-06-11,C,B,True,0.83
2025-06-20,SKU-00141,E-04R-004-1-B,E,APP,floor,9,525,12,0,12,4,2025-06-16,C,B,True,0.968
2025-06-20,SKU-00142,C-03L-011-4-A,C,APP,sub_prime,63,275,40,1,39,16,2025-06-04,B,B,False,2.334
2025-06-20,SKU-00143,D-03L-002-1-B,D,APP,floor,9,400,15,0,15,16,2025-06-04,C,B,True,0.852
2025-06-20,SKU-00144,C-04L-007-2-B,C,APP,prime,27,275,13,1,12,11,2025-06-09,B,B,False,1.365
2025-06-20,SKU-00145,D-03R-005-2-A,D,APP,prime,27,400,64,8,56,16,2025-06-04,A,A,False,6.443
2025-06-20,SKU-00146,E-03R-002-2-B,E,APP,prime,27,525,13,0,13,13,2025-06-07,C,B,True,0.819
2025-06-20,SKU-00147,D-04L-019-3-B,D,APP,prime,45,400,6,0,6,14,2025-06-06,C,B,True,0.894
2025-06-20,SKU-00148,D-04L-008-4-A,D,APP,sub_prime,63,400,90,6,84,5,2025-06-15,B,A,True,4.472
2025-06-20,SKU-00149,C-03R-009-3-A,C,APP,prime,45,275,19,0,19,15,2025-06-05,B,B,False,2.086
2025-06-20,SKU-00150,B-03L-004-2-A,B,APP,prime,27,150,123,2,121,12,2025-06-08,A,A,False,7.638
2025-06-20,SKU-00151,D-04R-003-4-B,D,APP,sub_prime,63,400,32,0,32,11,2025-06-09,B,B,False,1.733
2025-06-20,SKU-00152,D-03L-002-2-A,D,APP,prime,27,400,18,0,18,14,2025-06-06,C,B,True,0.934
2025-06-20,SKU-00153,D-03L-012-4-A,D,APP,sub_prime,63,400,17,2,15,19,2025-06-01,B,A,True,3.224
2025-06-20,SKU-00154,D-03R-007-1-A,D,APP,floor,9,400,14,3,11,5,2025-06-15,B,B,False,2.06
2025-06-20,SKU-00155,B-04L-020-3-A,B,APP,prime,45,150,19,2,17,7,2025-06-13,B,B,False,2.121
2025-06-20,SKU-00156,B-03R-020-4-A,B,APP,sub_prime,63,150,8,1,7,16,2025-06-04,B,B,False,1.264
2025-06-20,SKU-00157,D-04R-011-3-A,D,APP,prime,45,400,13,1,12,16,2025-06-04,C,B,True,1.032
2025-06-20,SKU-00158,C-04L-010-3-A,C,APP,prime,45,275,79,2,77,5,2025-06-15,B,A,True,3.939
2025-06-20,SKU-00159,C-03R-009-1-A,C,APP,floor,9,275,36,0,36,13,2025-06-07,B,B,False,1.858
2025-06-20,SKU-00160,A-04R-008-2-B,A,APP,prime,27,50,43,5,38,12,2025-06-08,B,A,True,4.638
2025-06-20,SKU-00161,E-03R-003-1-B,E,APP,floor,9,525,12,0,12,1,2025-06-19,C,B,True,1.06
2025-06-20,SKU-00162,C-03R-006-1-B,C,APP,floor,9,275,62,0,62,20,2025-05-31,B,A,True,4.137
2025-06-20,SKU-00163,C-04R-014-1-A,C,APP,floor,9,275,25,0,25,3,2025-06-17,B,B,False,1.297
2025-06-20,SKU-00164,D-03R-009-4-B,D,APP,sub_prime,63,400,24,2,22,13,2025-06-07,B,B,False,1.842
2025-06-20,SKU-00165,E-04L-009-1-B,E,APP,floor,9,525,18,1,17,17,2025-06-03,C,B,True,1.131
2025-06-20,SKU-00166,E-03L-010-1-B,E,APP,floor,9,525,16,0,16,2,2025-06-18,C,B,True,1.142
2025-06-20,SKU-00167,A-03L-015-1-A,A,APP,floor,9,50,129,13,116,18,2025-06-02,A,A,False,12.332
2025-06-20,SKU-00168,E-03L-011-2-B,E,APP,prime,27,525,11,0,11,17,2025-06-03,C,B,True,1.043
2025-06-20,SKU-00169,B-03R-010-4-B,B,APP,sub_prime,63,150,24,1,23,18,2025-06-02,B,B,False,1.668
2025-06-20,SKU-00170,A-03L-012-1-A,A,APP,floor,9,50,47,3,44,5,2025-06-15,B,A,True,2.796
2025-06-20,SKU-00171,B-04L-006-1-A,B,APP,floor,9,150,42,1,41,19,2025-06-01,B,A,True,3.103
2025-06-20,SKU-00172,C-03L-005-2-A,C,APP,prime,27,275,11,1,10,12,2025-06-08,B,B,False,1.29
2025-06-20,SKU-00173,D-04R-017-3-B,D,APP,prime,45,400,6,0,6,4,2025-06-16,C,B,True,1.028
2025-06-20,SKU-00174,C-04R-003-2-A,C,APP,prime,27,275,6,1,5,16,2025-06-04,B,B,False,1.227
2025-06-20,SKU-00175,D-03R-007-2-A,D,APP,prime,27,400,12,0,12,7,2025-06-13,B,B,False,1.45
2025-06-20,SKU-00176,E-03L-018-3-A,E,APP,prime,45,525,14,1,13,13,2025-06-07,C,B,True,1.045
2025-06-20,SKU-00177,E-03L-014-4-B,E,APP,sub_prime,63,525,16,0,16,14,2025-06-06,C,B,True,0.983
2025-06-20,SKU-00178,C-04L-017-1-B,C,APP,floor,9,275,7,1,6,16,2025-06-04,B,B,False,1.252
2025-06-20,SKU-00179,E-03R-004-2-A,E,APP,prime,27,525,5,1,4,15,2025-06-05,C,B,True,1.086
2025-06-20,SKU-00180,B-03L-010-1-A,B,APP,floor,9,150,231,3,228,17,2025-06-03,A,A,False,11.735
2025-06-20,SKU-00181,E-04R-013-2-B,E,APP,prime,27,525,7,1,6,6,2025-06-14,C,B,True,1.002
2025-06-20,SKU-00182,D-04L-005-4-B,D,APP,sub_prime,63,400,13,2,11,16,2025-06-04,B,B,False,1.94
2025-06-20,SKU-00183,B-04R-001-1-B,B,APP,floor,9,150,46,5,41,7,2025-06-13,A,A,False,8.051
2025-06-20,SKU-00184,E-03R-012-3-B,E,APP,prime,45,525,6,0,6,13,2025-06-07,C,B,True,0.783
2025-06-20,SKU-00185,E-04L-009-2-B,E,APP,prime,27,525,18,1,17,7,2025-06-13,C,B,True,1.145
2025-06-20,SKU-00186,B-04L-014-3-A,B,APP,prime,45,150,32,2,30,20,2025-05-31,B,B,False,1.827
2025-06-20,SKU-00187,B-03L-002-1-B,B,APP,floor,9,150,40,1,39,6,2025-06-14,B,B,False,1.971
2025-06-20,SKU-00188,E-03R-013-2-B,E,APP,prime,27,525,4,0,4,6,2025-06-14,C,B,True,0.828
2025-06-20,SKU-00189,C-03R-016-3-A,C,APP,prime,45,275,11,1,10,14,2025-06-06,B,B,False,1.238
2025-06-20,SKU-00190,B-04R-017-1-B,B,APP,floor,9,150,38,1,37,20,2025-05-31,B,B,False,2.147
2025-06-20,SKU-00191,D-03R-007-4-B,D,APP,sub_prime,63,400,38,2,36,19,2025-06-01,B,B,False,1.933
2025-06-20,SKU-00192,C-04L-009-4-A,C,APP,sub_prime,63,275,24,3,21,8,2025-06-12,B,B,False,2.18
2025-06-20,SKU-00193,C-04R-016-2-A,C,APP,prime,27,275,19,2,17,13,2025-06-07,B,B,False,2.006
2025-06-20,SKU-00194,C-03R-007-2-A,C,APP,prime,27,275,21,2,19,11,2025-06-09,B,B,False,1.921
2025-06-20,SKU-00195,C-03L-014-2-B,C,APP,prime,27,275,5,0,5,20,2025-05-31,C,B,True,0.989
2025-06-20,SKU-00196,D-04L-015-4-B,D,APP,sub_prime,63,400,36,1,35,17,2025-06-03,B,B,False,2.405
2025-06-20,SKU-00197,E-03R-011-4-A,E,APP,sub_prime,63,525,22,0,22,11,2025-06-09,B,B,False,1.338
2025-06-20,SKU-00198,D-03L-017-1-A,D,APP,floor,9,400,15,0,15,17,2025-06-03,B,B,False,1.403
2025-06-20,SKU-00199,B-03R-020-4-B,B,APP,sub_prime,63,150,63,1,62,17,2025-06-03,B,A,True,3.161
2025-06-20,SKU-00200,D-04L-009-1-B,D,APP,floor,9,400,14,1,13,8,2025-06-12,C,B,True,1.055
2025-06-20,SKU-00201,C-04L-017-3-A,C,APP,prime,45,275,20,1,19,20,2025-05-31,B,B,False,1.436
2025-06-20,SKU-00202,C-04L-012-3-A,C,APP,prime,45,275,27,1,26,5,2025-06-15,B,A,True,3.344
2025-06-20,SKU-00203,B-03L-001-4-B,B,APP,sub_prime,63,150,89,5,84,3,2025-06-17,B,A,True,4.649
2025-06-20,SKU-00204,C-03L-012-4-B,C,APP,sub_prime,63,275,9,0,9,14,2025-06-06,C,B,True,1.063
2025-06-20,SKU-00205,C-03L-016-1-A,C,APP,floor,9,275,42,2,40,3,2025-06-17,B,B,False,2.25
2025-06-20,SKU-00206,D-03L-011-4-B,D,APP,sub_prime,63,400,21,1,20,16,2025-06-04,C,B,True,1.064
2025-06-20,SKU-00207,D-03L-002-4-B,D,APP,sub_prime,63,400,13,0,13,18,2025-06-02,C,B,True,0.803
2025-06-20,SKU-00208,E-04L-002-2-A,E,APP,prime,27,525,9,0,9,20,2025-05-31,C,B,True,0.96
2025-06-20,SKU-00209,E-03R-016-1-B,E,APP,floor,9,525,10,0,10,5,2025-06-15,B,B,False,1.232
2025-06-20,SKU-00210,C-04L-013-2-B,C,APP,prime,27,275,17,0,17,13,2025-06-07,B,A,True,3.498
2025-06-20,SKU-00211,D-03L-013-1-A,D,APP,floor,9,400,15,0,15,20,2025-05-31,C,B,True,0.838
2025-06-20,SKU-00212,D-04R-006-2-A,D,APP,prime,27,400,27,1,26,4,2025-06-16,B,B,False,1.467
2025-06-20,SKU-00213,C-03R-001-3-B,C,APP,prime,45,275,13,1,12,18,2025-06-02,C,B,True,1.034
2025-06-20,SKU-00214,D-03L-001-1-B,D,APP,floor,9,400,51,0,51,14,2025-06-06,B,A,True,3.674
2025-06-20,SKU-00215,B-04L-015-1-B,B,APP,floor,9,150,57,7,50,16,2025-06-04,A,A,False,8.473
2025-06-20,SKU-00216,E-03R-003-4-A,E,APP,sub_prime,63,525,14,0,14,8,2025-06-12,C,B,True,0.917
2025-06-20,SKU-00217,C-03L-019-3-B,C,APP,prime,45,275,119,3,116,5,2025-06-15,A,A,False,7.376
2025-06-20,SKU-00218,E-03R-016-4-A,E,APP,sub_prime,63,525,17,0,17,11,2025-06-09,C,B,True,0.944
